# Time-averaged data for fix all_msd
# TimeStep c_msd1[4]
0 2.04939e-29
100 0.340571
200 0.571659
300 0.826553
400 1.04457
500 1.31378
600 1.64861
700 1.95314
800 2.32033
900 2.70057
1000 3.11807
1100 3.46724
1200 3.9004
1300 4.22623
1400 4.65674
1500 5.01787
1600 5.26784
1700 5.36599
1800 5.71164
1900 6.02213
2000 6.22034
2100 6.50791
2200 6.86602
2300 7.0828
2400 7.23261
2500 7.4191
2600 7.65912
2700 7.96497
2800 8.18352
2900 8.50175
3000 8.92697
3100 9.12284
3200 9.26701
3300 9.50123
3400 10.0411
3500 10.2517
3600 10.6222
3700 10.9602
3800 10.987
3900 11.2218
4000 11.6333
4100 11.9562
4200 12.2058
4300 12.5116
4400 12.5669
4500 12.6398
4600 12.9155
4700 13.173
4800 13.3181
4900 13.6703
5000 14.2877
5100 14.3558
5200 14.6891
5300 14.8698
5400 15.0543
5500 15.2642
5600 15.4153
5700 15.5297
5800 15.9912
5900 16.1557
6000 16.3208
6100 16.5834
6200 17.1098
6300 17.3524
6400 17.6771
6500 17.8404
6600 17.9036
6700 18.1277
6800 18.3609
6900 18.6591
7000 18.9832
7100 19.0532
7200 19.4394
7300 19.9353
7400 20.1258
7500 20.4414
7600 20.691
7700 20.8859
7800 21.0707
7900 21.3326
8000 21.5909
8100 21.7405
8200 22.0323
8300 22.2484
8400 22.443
8500 22.6687
8600 22.8334
8700 23.0571
8800 23.1842
8900 23.5112
9000 23.6215
9100 23.9209
9200 24.1061
9300 24.3657
9400 24.559
9500 24.8508
9600 24.8801
9700 25.1668
9800 25.2092
9900 25.2855
10000 25.7353
10100 25.9076
10200 26.2654
10300 26.2723
10400 26.7338
10500 26.7986
10600 27.0788
10700 27.2725
10800 27.4783
10900 28.0927
11000 28.283
11100 28.5199
11200 28.8767
11300 29.2227
11400 29.383
11500 29.9682
11600 30.226
11700 30.3532
11800 30.6845
11900 31.0089
12000 31.2569
12100 31.5661
12200 31.9261
12300 32.432
12400 32.7774
12500 33.5768
12600 33.4604
12700 33.7271
12800 34.1083
12900 34.206
13000 34.6356
13100 34.504
13200 34.9803
13300 35.0798
13400 35.2964
13500 35.5532
13600 35.7934
13700 36.3071
13800 36.8589
13900 36.7978
14000 36.8954
14100 37.2896
14200 37.5855
14300 37.803
14400 37.7455
14500 38.0268
14600 38.2354
14700 38.4011
14800 38.666
14900 38.945
15000 39.2922
15100 39.6285
15200 39.8788
15300 40.1432
15400 40.4052
15500 40.4719
15600 40.5911
15700 41.2018
15800 41.376
15900 41.6438
16000 41.9075
16100 42.0382
16200 42.1908
16300 42.2372
16400 42.2598
16500 42.4905
